[2022-12-26 07:03:06.769] [info] Ver. 0.0.2 (built Dec 26 2022/06:18:53)
[2022-12-26 07:03:07.306] [info] Frame width : 1600
[2022-12-26 07:03:07.306] [info] Frame height : 1200
[2022-12-26 07:03:07.306] [info] Auto Exposure : 3
[2022-12-26 07:03:07.306] [info] Auto White Balance : 0
[2022-12-26 07:03:07.307] [info] Exposure : 5000
[2022-12-26 07:03:07.307] [info] Brightness : 0
[2022-12-26 07:03:08.372] [info] Focus Quality Measure : 249.92211198222225
[2022-12-26 07:03:08.427] [info] Focus Quality Measure : 250.6395312469136
[2022-12-26 07:03:08.513] [info] Focus Quality Measure : 247.64989307209882
[2022-12-26 07:03:08.565] [info] Focus Quality Measure : 251.42902444987658
[2022-12-26 07:03:08.623] [info] Focus Quality Measure : 249.64279006617286
[2022-12-26 07:03:08.682] [info] Focus Quality Measure : 251.4118478888889
[2022-12-26 07:03:08.756] [info] Focus Quality Measure : 250.44904651061728
[2022-12-26 07:03:08.806] [info] Focus Quality Measure : 250.5817913995062
[2022-12-26 07:03:08.857] [info] Focus Quality Measure : 251.23826720987657
[2022-12-26 07:03:08.908] [info] Focus Quality Measure : 253.80690391654323
[2022-12-26 07:03:08.959] [info] Focus Quality Measure : 250.10582257580248
[2022-12-26 07:03:09.009] [info] Focus Quality Measure : 252.11726431555553
[2022-12-26 07:03:09.060] [info] Focus Quality Measure : 249.83973076098766
[2022-12-26 07:03:09.111] [info] Focus Quality Measure : 249.79310484888887
[2022-12-26 07:03:09.162] [info] Focus Quality Measure : 253.303797331358
[2022-12-26 07:03:09.213] [info] Focus Quality Measure : 250.81958936839513
[2022-12-26 07:03:09.264] [info] Focus Quality Measure : 249.68336165728394
[2022-12-26 07:03:09.315] [info] Focus Quality Measure : 250.87470044444447
[2022-12-26 07:03:09.366] [info] Focus Quality Measure : 252.05252104246918
[2022-12-26 07:03:09.417] [info] Focus Quality Measure : 251.56963958320986
[2022-12-26 07:03:09.468] [info] Focus Quality Measure : 249.8038364320988
[2022-12-26 07:03:09.519] [info] Focus Quality Measure : 250.4535096711111
[2022-12-26 07:03:09.570] [info] Focus Quality Measure : 252.35271747950617
[2022-12-26 07:03:09.621] [info] Focus Quality Measure : 250.87396532098765
[2022-12-26 07:03:09.672] [info] Focus Quality Measure : 251.4634732069136
[2022-12-26 07:03:09.723] [info] Focus Quality Measure : 252.75527118222226
[2022-12-26 07:03:09.774] [info] Focus Quality Measure : 251.33848138222223
[2022-12-26 07:03:09.825] [info] Focus Quality Measure : 251.82152760444444
[2022-12-26 07:03:09.880] [info] Focus Quality Measure : 250.6986657955556
[2022-12-26 07:03:09.942] [info] Focus Quality Measure : 252.13860515111114
[2022-12-26 07:03:09.997] [info] Focus Quality Measure : 252.9333482488889
[2022-12-26 07:03:10.052] [info] Focus Quality Measure : 252.16653273283953
[2022-12-26 07:03:10.106] [info] Focus Quality Measure : 251.74144146913585
[2022-12-26 07:03:10.161] [info] Focus Quality Measure : 252.04187011111114
[2022-12-26 07:03:10.215] [info] Focus Quality Measure : 251.78328092395063
[2022-12-26 07:03:10.270] [info] Focus Quality Measure : 251.01645564
[2022-12-26 07:03:10.324] [info] Focus Quality Measure : 250.0417866661728
[2022-12-26 07:03:10.379] [info] Focus Quality Measure : 248.49090355358027
[2022-12-26 07:03:10.434] [info] Focus Quality Measure : 249.70757617333336
[2022-12-26 07:03:10.489] [info] Focus Quality Measure : 250.33355427111113
[2022-12-26 07:03:10.543] [info] Focus Quality Measure : 250.42784853135808
[2022-12-26 07:03:10.598] [info] Focus Quality Measure : 250.08686482913586
[2022-12-26 07:03:10.652] [info] Focus Quality Measure : 251.57416447209877
[2022-12-26 07:03:10.707] [info] Focus Quality Measure : 251.81371873777772
[2022-12-26 07:03:10.759] [info] Focus Quality Measure : 248.8964205032099
[2022-12-26 07:03:10.813] [info] Focus Quality Measure : 253.59947993876543
[2022-12-26 07:03:10.868] [info] Focus Quality Measure : 250.34443816246912
[2022-12-26 07:03:10.923] [info] Focus Quality Measure : 251.94580820543214
[2022-12-26 07:03:10.977] [info] Focus Quality Measure : 251.43141628395065
[2022-12-26 07:03:11.032] [info] Focus Quality Measure : 251.53673322666666
[2022-12-26 07:03:11.086] [info] Focus Quality Measure : 250.13717484987654
[2022-12-26 07:03:11.141] [info] Focus Quality Measure : 251.35469447111112
[2022-12-26 07:03:11.196] [info] Focus Quality Measure : 250.27588955999997
[2022-12-26 07:03:11.250] [info] Focus Quality Measure : 252.9046812839506
[2022-12-26 07:03:11.308] [info] Focus Quality Measure : 249.9326840711111
[2022-12-26 07:03:11.363] [info] Focus Quality Measure : 251.10193741777783
[2022-12-26 07:03:11.417] [info] Focus Quality Measure : 248.51884268839504
[2022-12-26 07:03:11.472] [info] Focus Quality Measure : 248.70869303654325
[2022-12-26 07:03:11.527] [info] Focus Quality Measure : 251.4733371846914
[2022-12-26 07:03:11.581] [info] Focus Quality Measure : 252.5061385461728
[2022-12-26 07:03:11.636] [info] Focus Quality Measure : 248.96235555506172
[2022-12-26 07:03:11.690] [info] Focus Quality Measure : 250.1593912488889
[2022-12-26 07:03:11.745] [info] Focus Quality Measure : 250.06028773135802
[2022-12-26 07:03:11.800] [info] Focus Quality Measure : 248.71657824395066
[2022-12-26 07:03:11.854] [info] Focus Quality Measure : 250.34876945728394
[2022-12-26 07:03:11.909] [info] Focus Quality Measure : 249.3475873165432
[2022-12-26 07:03:11.964] [info] Focus Quality Measure : 250.01122932098767
[2022-12-26 07:03:12.018] [info] Focus Quality Measure : 251.6337534691358
[2022-12-26 07:03:12.072] [info] Focus Quality Measure : 249.71011404987655
[2022-12-26 07:03:12.127] [info] Focus Quality Measure : 250.04300133135803
[2022-12-26 07:03:12.182] [info] Focus Quality Measure : 250.36884683654327
[2022-12-26 07:03:12.233] [info] Focus Quality Measure : 251.4956362069136
[2022-12-26 07:03:12.284] [info] Focus Quality Measure : 251.9901328888889
[2022-12-26 07:03:12.335] [info] Focus Quality Measure : 250.2630946720988
[2022-12-26 07:03:12.386] [info] Focus Quality Measure : 251.1795140246914
[2022-12-26 07:03:12.436] [info] Focus Quality Measure : 249.8413610587654
[2022-12-26 07:03:12.487] [info] Focus Quality Measure : 249.98128680246913
[2022-12-26 07:03:12.538] [info] Focus Quality Measure : 250.17488888888892
[2022-12-26 07:03:12.589] [info] Focus Quality Measure : 249.0331673106173
[2022-12-26 07:03:12.640] [info] Focus Quality Measure : 249.95256235802466
[2022-12-26 07:03:12.691] [info] Focus Quality Measure : 250.39862869135797
[2022-12-26 07:03:12.742] [info] Focus Quality Measure : 251.76075988888894
[2022-12-26 07:03:12.793] [info] Focus Quality Measure : 250.9603859155556
[2022-12-26 07:03:12.844] [info] Focus Quality Measure : 247.796133214321
[2022-12-26 07:03:12.895] [info] Focus Quality Measure : 249.85671111111108
[2022-12-26 07:03:12.946] [info] Focus Quality Measure : 252.2779250128395
[2022-12-26 07:03:12.997] [info] Focus Quality Measure : 252.1058539254321
[2022-12-26 07:03:13.047] [info] Focus Quality Measure : 252.900516614321
[2022-12-26 07:03:13.099] [info] Focus Quality Measure : 251.07873302469133
[2022-12-26 07:03:13.150] [info] Focus Quality Measure : 252.78218960543214
[2022-12-26 07:03:13.201] [info] Focus Quality Measure : 252.61740938222226
[2022-12-26 07:03:13.252] [info] Focus Quality Measure : 249.52510473283948
[2022-12-26 07:03:13.302] [info] Focus Quality Measure : 251.52541009333336
[2022-12-26 07:03:13.353] [info] Focus Quality Measure : 252.25475955358024
[2022-12-26 07:03:13.404] [info] Focus Quality Measure : 251.10903869432101
[2022-12-26 07:03:13.456] [info] Focus Quality Measure : 252.48012433333338
[2022-12-26 07:03:13.506] [info] Focus Quality Measure : 251.47625717283955
[2022-12-26 07:03:13.557] [info] Focus Quality Measure : 250.0401721995062
[2022-12-26 07:03:13.607] [info] Focus Quality Measure : 249.2341084128395
[2022-12-26 07:03:13.658] [info] Focus Quality Measure : 249.77298364
[2022-12-26 07:03:13.708] [info] Focus Quality Measure : 251.12624501283955
[2022-12-26 07:03:13.760] [info] Focus Quality Measure : 251.2044672350617
